Time,Open Issues
2012-07-04 14:30:37Z,1
2012-07-04 14:32:43Z,0
2012-08-28 19:06:14Z,1
2012-09-04 13:36:41Z,2
2012-12-25 14:47:19Z,3
2012-12-25 16:29:12Z,2
2013-01-02 08:18:36Z,3
2013-01-02 13:35:27Z,2
2013-05-28 08:33:43Z,3
2013-11-07 17:12:56Z,4
2014-02-13 03:32:51Z,3
2014-02-17 20:18:48Z,4
2014-02-17 20:41:18Z,3
2014-02-17 21:18:30Z,4
2014-02-17 21:18:57Z,3
2014-04-03 08:38:04Z,4
2014-05-22 19:32:03Z,5
2014-05-22 19:38:54Z,4
2014-06-19 05:45:15Z,3
2014-06-20 04:39:02Z,4
2014-06-20 04:44:24Z,3
2014-06-20 05:22:30Z,2
2015-01-02 13:58:30Z,1
2015-06-07 22:40:33Z,2
2015-06-08 07:33:57Z,1
2015-06-08 21:03:43Z,2
2015-06-08 21:08:46Z,1
2015-06-11 18:49:38Z,2
2015-06-13 13:49:51Z,3
2015-06-14 12:23:12Z,4
2015-06-21 19:24:45Z,5
2015-06-21 21:03:09Z,4
2015-06-22 21:18:45Z,5
2015-06-26 11:18:59Z,6
2015-06-26 23:02:48Z,7
2015-06-28 19:54:58Z,8
2015-06-28 20:14:55Z,7
2015-07-05 18:37:35Z,8
2015-07-05 18:43:51Z,7
2015-07-06 20:51:16Z,8
2015-07-11 07:26:31Z,7
2015-07-19 23:08:48Z,8
2015-07-21 02:24:05Z,9
2015-07-21 14:29:49Z,8
2015-07-22 15:09:23Z,9
2015-07-22 19:18:14Z,8
2015-07-22 19:25:04Z,7
2015-07-25 08:13:59Z,6
2015-07-25 10:11:13Z,5
2015-07-25 21:00:33Z,6
2015-07-25 23:01:20Z,7
2015-07-25 23:05:47Z,6
2015-07-25 23:06:57Z,5
2015-07-26 19:19:47Z,6
2015-07-26 19:51:07Z,5
2015-07-27 13:46:55Z,6
2015-07-27 13:59:42Z,5
2015-07-27 15:59:14Z,6
2015-07-27 15:59:24Z,5
2015-07-31 00:18:00Z,6
2015-07-31 04:36:43Z,5
2015-08-05 20:59:47Z,6
2015-08-05 21:46:49Z,7
2015-08-06 05:23:16Z,8
2015-08-06 12:49:02Z,9
2015-08-07 10:21:32Z,10
2015-08-10 18:21:19Z,11
2015-08-22 12:44:58Z,12
2015-08-22 13:10:56Z,11
2015-08-22 13:53:59Z,12
2015-08-29 11:08:31Z,13
2015-08-29 12:37:35Z,12
2015-08-31 11:59:50Z,13
2015-08-31 12:03:43Z,12
2015-09-01 12:34:22Z,13
2015-09-02 08:44:13Z,12
2015-09-04 19:16:45Z,13
2015-09-04 19:24:58Z,12
2015-09-13 16:15:18Z,13
2015-09-13 18:25:36Z,12
2015-09-13 20:31:10Z,13
2015-09-13 20:32:50Z,12
2015-09-14 20:26:09Z,13
2015-09-14 20:43:59Z,12
2015-09-14 21:52:02Z,13
2015-09-15 02:15:09Z,12
2015-09-16 19:13:18Z,13
2015-09-16 19:14:07Z,12
2015-09-16 19:41:03Z,13
2015-09-17 11:53:17Z,14
2015-09-17 11:53:43Z,15
2015-09-17 11:53:54Z,16
2015-09-17 13:55:25Z,15
2015-09-19 02:03:18Z,16
2015-09-25 08:11:29Z,17
2015-09-25 08:19:10Z,16
2015-09-25 14:56:22Z,17
2015-09-26 03:50:29Z,18
2015-09-26 03:50:48Z,17
2015-09-26 14:55:44Z,18
2015-09-28 11:49:41Z,19
2015-09-28 15:07:37Z,18
2015-09-28 15:15:50Z,19
2015-09-29 17:29:45Z,20
2015-09-30 13:20:45Z,19
2015-09-30 20:39:04Z,20
2015-10-03 00:14:28Z,21
2015-10-03 00:25:44Z,20
2015-10-03 02:22:02Z,21
2015-10-03 02:32:04Z,20
2015-10-05 20:27:30Z,19
2015-10-07 03:52:49Z,20
2015-10-07 04:06:20Z,19
2015-10-07 04:07:03Z,20
2015-10-07 04:09:26Z,19
2015-10-07 19:05:09Z,20
2015-10-07 19:07:03Z,21
2015-10-07 20:22:04Z,22
2015-10-08 02:38:33Z,23
2015-10-08 17:12:34Z,22
2015-10-08 17:13:24Z,21
2015-10-08 18:07:24Z,20
2015-10-08 20:21:29Z,21
2015-10-08 20:44:02Z,20
2015-10-08 21:39:00Z,21
2015-10-08 23:08:22Z,20
2015-10-09 03:06:11Z,19
2015-10-09 03:06:46Z,18
2015-10-09 21:57:46Z,19
2015-10-09 22:40:04Z,18
2015-10-10 02:48:34Z,17
2015-10-11 12:10:17Z,18
2015-10-11 12:14:48Z,19
2015-10-11 12:43:11Z,18
2015-10-11 12:43:38Z,17
2015-10-11 20:20:59Z,18
2015-10-11 20:56:54Z,17
2015-10-12 04:59:21Z,18
2015-10-12 05:05:24Z,19
2015-10-12 14:45:50Z,20
2015-10-12 16:43:37Z,19
2015-10-12 17:22:37Z,20
2015-10-12 17:31:04Z,21
2015-10-13 03:32:48Z,20
2015-10-13 18:46:41Z,21
2015-10-13 21:13:40Z,20
2015-10-14 02:43:28Z,21
2015-10-14 02:56:27Z,20
2015-10-14 17:33:54Z,21
2015-10-14 21:06:17Z,22
2015-10-14 21:09:00Z,21
2015-10-15 07:11:44Z,22
2015-10-15 07:13:03Z,21
2015-10-15 07:30:00Z,22
2015-10-15 07:37:04Z,21
2015-10-16 12:44:37Z,22
2015-10-17 00:47:21Z,23
2015-10-17 15:08:56Z,22
2015-10-17 17:32:27Z,23
2015-10-17 19:25:57Z,24
2015-10-18 19:42:51Z,23
2015-10-19 01:47:06Z,24
2015-10-19 03:00:00Z,23
2015-10-21 01:46:00Z,24
2015-10-21 03:02:22Z,25
2015-10-21 04:39:17Z,24
2015-10-21 14:24:05Z,25
2015-10-23 16:16:00Z,26
2015-10-23 16:51:47Z,25
2015-10-26 15:59:12Z,26
2015-10-27 10:59:10Z,27
2015-10-27 15:37:27Z,28
2015-10-27 16:35:57Z,29
2015-10-28 08:13:16Z,30
2015-10-28 17:46:40Z,29
2015-10-30 09:57:46Z,30
2015-10-30 09:59:04Z,29
2015-10-30 16:47:28Z,30
2015-10-30 16:59:55Z,29
2015-10-31 14:30:32Z,30
2015-10-31 18:46:34Z,29
2015-10-31 18:47:39Z,28
2015-11-03 21:16:15Z,29
2015-11-03 21:26:21Z,28
2015-11-06 00:42:32Z,29
2015-11-08 18:14:52Z,30
2015-11-08 20:31:24Z,29
2015-11-09 03:10:39Z,30
2015-11-09 03:48:49Z,29
2015-11-09 03:57:52Z,30
2015-11-09 04:00:00Z,29
2015-11-09 04:39:32Z,30
2015-11-09 04:52:38Z,29
2015-11-09 05:23:35Z,30
2015-11-09 05:32:10Z,29
2015-11-09 13:16:05Z,30
2015-11-09 13:35:40Z,29
2015-11-10 03:51:37Z,30
2015-11-10 04:01:35Z,29
2015-11-10 22:23:24Z,30
2015-11-10 22:28:44Z,29
2015-11-11 20:39:53Z,30
2015-11-11 20:50:28Z,29
2015-11-11 21:01:34Z,30
2015-11-11 21:50:47Z,29
2015-11-11 22:54:17Z,30
2015-11-12 16:21:48Z,31
2015-11-12 16:44:13Z,30
2015-11-12 20:16:26Z,31
2015-11-13 09:57:30Z,32
2015-11-13 11:22:19Z,31
2015-11-13 11:38:11Z,30
2015-11-13 13:52:46Z,29
2015-11-16 13:24:47Z,30
2015-11-16 14:19:16Z,29
2015-11-20 03:26:08Z,28
2015-12-14 21:10:41Z,27
2015-12-21 00:53:58Z,26
2015-12-24 05:37:59Z,25
2015-12-24 07:27:29Z,24
2015-12-24 07:48:30Z,23
2016-03-13 22:08:13Z,22
2016-04-16 10:11:18Z,21
2016-04-17 14:40:01Z,20
2016-04-17 15:38:56Z,19
2016-04-20 19:01:10Z,18
2016-06-10 18:06:27Z,17
2016-06-15 16:53:36Z,16
2016-07-01 14:39:10Z,15
2016-07-11 08:57:31Z,14
2016-07-13 12:56:54Z,13
2016-08-08 09:39:23Z,12
2016-09-10 19:17:16Z,13
2016-09-10 19:28:33Z,14
2016-09-11 02:27:26Z,15
2016-09-11 03:50:42Z,14
2016-09-12 03:38:58Z,15
2016-09-13 10:18:12Z,16
