File,Authors
src/classes/Code.pir, 6
src/core/Block.pm, 14
src/core/Slang.pm6, 1
src/CORE.setting/Bool.pm, 1
src/old/builtins/Bool.pir, 2
src/old/classes/Submethod.pir, 2
src/builtins/Array.pir, 4
src/Perl6/Compiler/Parameter.pm, 2
t/pod/02-paragraph.t, 1
src/core/hash_slice.pm, 9
src/old/classes/Failure.pir, 2
src/pmc/perl6multisub.pmc, 14
src/old/cheats/int-ops.pir, 2
CONTRIBUTING.md, 5
tools/build/NQP_REVISION, 33
src/core/Parameter.pm6, 1
src/core/distro.pm6, 1
src/core/LexPad.pm, 2
t/pmc/p6invocation-1.t, 1
lib/Pod/To/Text.pm, 12
src/binder/container.h, 2
docs/announce/2012.12, 1
src/core/StrDistance.pm, 5
src/core/operators.pm6, 3
src/vm/jvm/runtime/org/perl6/rakudo/RakudoContainerSpec.java, 4
t/09-moar/General_Category;UnicodeData;2.t, 1
src/classes/Signature.pir, 9
src/cheats/str-ops.pir, 4
src/old/setting/Int.pm, 2
docs/announce/2015.01.md, 1
src/binder/multidispatch.c, 5
src/old/core/tai-utc.pm, 2
src/core/Rakudo/Internals/HyperIteratorBatcher.pm6, 2
src/core/Proc.pm6, 3
t/05-messages/03-errors.t, 4
src/core/Signature.pm6, 2
src/core/Rakudo/Internals/RaceToIterator.pm6, 1
src/core/Whatever.pm6, 1
docs/announce/2016.07.md, 1
src/Perl6/Metamodel/Configuration.nqp, 1
src/QPerl6/World.pm, 1
docs/announce/2017.08.md, 1
src/core/Slang.pm, 2
src/core/Supply.pm, 15
tools/build/nqp-jvm-rr.pl, 1
src/builtins/Pair.pir, 1
src/cheats/use.pir, 2
src/old/classes/Junction.pir, 2
src/builtins/Associative.pir, 3
src/Perl6/Metamodel/MultipleInheritance.nqp, 4
src/core/enum.pm, 1
docs/announce/2015.12.md, 10
src/Perl6/Metamodel/MultipleInheritance.pm, 2
docs/announce/2010.11, 1
src/Perl6/Metamodel/DefaultParent.nqp, 2
t/3rdparty/Unicode/10.0.0/extracted/DerivedGeneralCategory.txt, 1
lib/nqp.pm6, 2
src/parse2past.tg, 1
src/core/Nil.pm6, 1
lib/PAST.pir, 3
t/02-test-pm/3-output.t, 3
src/builtins/Parcel.pir, 7
src/glue/dispatch.pir, 6
docs/announce/2017.09.md, 1
tools/build/Makefile-Moar.in, 27
src/core/Rational.pm, 12
src/vm/parrot/guts/types.c, 2
src/cheats/callmethod.pir, 1
lib/DateTime/strftime.pm, 3
src/old/builtins/Sub.pir, 1
docs/announce/2012.04.1, 1
t/02-rakudo/v6.d-tests/01-deprecations.t, 1
.travis.yml, 11
t/09-moar/General_Category__extracted-DerivedGeneralCategory.t, 1
src/metamodel/RoleToInstanceApplier.nqp, 1
src/old/builtins/Block.pir, 1
src/core/Rakudo/Metaops.pm6, 1
lib/grammar_sub.pg, 1
src/builtins/Iterator.pir, 5
TODO, 1
src/core/Enumeration.pm, 15
docs/running.pod, 14
src/core/Real.pm6, 2
