Age,Label
3153884,new
1353,site
3359694,site
7129,docs
1254407,docs
172262,Hacktoberfest
172262,search
444650,docs
444650,update
5329425,docs
145354,build
159141,build
159141,meta
177661,docs
177661,new
20428388,docs
322461,meta
449078,docs
49366,docs
49366,update
6561505,meta
9097,docs
81924,good first issue
267567,docs
267567,new
3694112,docs
1632024,docs
1632024,good first issue
12940,docs
258561,xt
2666727,docs
25463516,docs
25463516,update
1994094,docs
18187,xt
4055,search
4834068,search
21969,docs
21969,site
21969,wishlist
245366,docs
7289935,search
19836659,docs
2643444,site
2643444,wishlist
44210775,docs
169151,meta
81893899,docs
788429,xt
2159972,docs
2159972,new
1847,build
19754198,docs
21915849,docs
4684878,docs
4524,xt
1114467,site
8988,docs
2538,build
40315,docs
40315,site
1350,build
2126782,xt
585383,docs
585383,search
218391,docs
218391,site
123789,docs
1066,docs
5937635,docs
55305,docs
1813731,bug
5975171,xt
2788867,docs
10523482,docs
10523482,good first issue
1239824,docs
13022868,docs
514424,docs
2963757,docs
185335,docs
185335,good first issue
20813036,docs
2235093,Hacktoberfest
2235093,docs
2235093,good first issue
2931787,docs
30129,docs
30129,good first issue
28157160,docs
955212,Hacktoberfest
955212,docs
955212,search
10290970,docs
2852450,docs
6747848,docs
12112,new
12112,search
12112,site
41189954,build
1558,site
546118,docs
973001,docs
973001,new
358752,docs
2827652,build
23788653,build
23788653,search
28481185,docs
28481185,meta
37472965,site
598250,docs
8991854,docs
957314,docs
324044,docs
324044,search
13747,good first issue
13747,xt
2447443,docs
749465,docs
24680822,docs
76007464,build
76007464,wishlist
73620,docs
73620,search
1798393,search
2451659,docs
695253,build
163914,site
974278,docs
351840,good first issue
351840,update
6245,search
179746,docs
20352363,search
25001020,docs
25001020,update
20505666,search
2752,docs
9592222,docs
116401,search
5819232,docs
16071366,build
6544,docs
3977097,NOTSPECCED
3977097,docs
32271190,docs
20414067,NOTSPECCED
44226431,docs
531880,build
49977645,docs
19633,xt
21162803,good first issue
1014,bug
1014,docs
74818503,docs
17389,build
17389,docs
17871176,docs
21270629,docs
161257,good first issue
10101383,search
934378,docs
4844104,search
5490350,docs
15032384,docs
67890,build
67890,search
23373983,docs
46514759,docs
46514759,wishlist
1582403,docs
1582403,update
373295,build
138870,docs
138870,search
191165,search
112946,search
3849,docs
3849,good first issue
7584,docs
278744,bug
278744,build
21221264,docs
25000221,docs
11876,build
233401,meta
4215261,docs
760183,docs
4783931,docs
4783931,xt
78320,build
1188992,build
1188992,docs
14079437,docs
14079437,new
546,NOTSPECCED
3105213,docs
13010,docs
2269951,docs
