{2018-04 => {!JJ => 212, JJ => 194}, 2018-05 => {!JJ => 127, JJ => 52}}
Month, Commits, Author
2018-04-01T00:00:00, 194, JJ
2018-04-01T00:00:00, 212, !JJ
2018-05-01T00:00:00, 52, JJ
2018-05-01T00:00:00, 127, !JJ
