author_association, closed_at, closer, created_at, created_by, state
MEMBER, 2018-04-25T14:54:57Z, zoffixznet, 2018-04-25T14:54:51Z, zoffixznet, closed
MEMBER, 2016-05-03T17:54:35Z, titsuki, 2016-05-02T01:35:01Z, titsuki, closed
MEMBER, 2017-08-07T00:42:19Z, coke, 2017-08-04T11:54:18Z, scmorrison, closed
MEMBER, 2018-03-30T20:15:58Z, ronaldxs, 2015-09-26T14:55:44Z, ronaldxs, closed
NONE, 2016-12-27T10:29:54Z, jonathanstowe, 2016-12-27T01:46:30Z, dugword, closed
MEMBER, 2015-05-15T05:13:42Z, jdv, 2015-03-04T19:35:01Z, moritz, closed
MEMBER, 2016-10-02T12:06:20Z, titsuki, 2016-10-02T12:06:12Z, titsuki, closed
MEMBER, 2015-11-20T16:39:34Z, zoffixznet, 2015-11-20T16:15:52Z, zoffixznet, closed
MEMBER, 2017-06-24T05:07:17Z, samcv, 2016-08-22T05:41:05Z, smls, closed
MEMBER, 2016-06-10T16:43:09Z, AlexDaniel, 2016-06-10T15:22:35Z, coke, closed
MEMBER, 2015-10-03T02:32:04Z, dha, 2015-10-03T02:22:02Z, dha, closed
MEMBER, 2016-04-28T23:37:56Z, zoffixznet, 2016-04-03T02:35:49Z, AlexDaniel, closed
MEMBER, 2017-12-18T19:49:46Z, zoffixznet, 2017-12-06T12:16:31Z, fluca1978, closed
MEMBER, 2016-06-10T14:27:45Z, AlexDaniel, 2016-06-10T13:42:55Z, coke, closed
MEMBER, 2017-07-19T13:13:15Z, bduggan, 2017-07-18T21:03:32Z, labster, closed
MEMBER, 2016-05-18T13:50:14Z, moritz, 2016-05-08T13:31:39Z, AlexDaniel, closed
MEMBER, 2018-05-30T19:02:25Z, JJ, 2018-05-24T06:59:51Z, JJ, closed
MEMBER, 2016-07-15T13:18:49Z, titsuki, 2016-07-15T13:18:44Z, titsuki, closed
CONTRIBUTOR, 2017-03-31T09:41:01Z, gfldex, 2017-02-20T19:36:54Z, gfldex, closed
MEMBER, 2016-07-19T20:54:48Z, jonathanstowe, 2016-07-19T19:20:49Z, zostay, closed
MEMBER, 2018-05-30T15:42:39Z, JJ, 2017-06-04T08:10:24Z, rafaelschipiura, closed
MEMBER, , , 2017-10-24T23:54:20Z, zoffixznet, open
MEMBER, 2018-05-16T06:08:29Z, moritz, 2018-05-16T06:01:38Z, mryan, closed
MEMBER, 2015-10-14T21:09:00Z, jonathanstowe, 2015-10-14T21:06:17Z, dha, closed
NONE, 2018-02-13T06:51:39Z, JJ, 2018-02-12T23:24:58Z, jimav, closed
MEMBER, 2017-10-25T19:04:32Z, zoffixznet, 2017-10-25T00:03:42Z, zoffixznet, closed
CONTRIBUTOR, 2015-12-31T02:33:05Z, gfldex, 2015-12-31T02:33:01Z, gfldex, closed
MEMBER, 2018-05-04T10:15:27Z, W4anD0eR96, 2017-11-14T21:06:15Z, WildYorkies, closed
MEMBER, 2016-06-10T16:51:07Z, AlexDaniel, 2016-06-10T15:21:15Z, coke, closed
MEMBER, 2015-02-25T19:06:06Z, timo, 2015-02-25T19:05:00Z, mkrull, closed
MEMBER, 2017-01-05T11:01:52Z, Altai-man, 2017-01-05T00:43:52Z, ronaldxs, closed
MEMBER, 2016-07-27T12:47:49Z, baby-gnu, 2016-07-27T12:30:10Z, baby-gnu, closed
CONTRIBUTOR, 2018-03-29T11:12:01Z, JJ, 2018-03-29T10:03:54Z, gfldex, closed
MEMBER, 2018-05-05T10:51:43Z, JJ, 2016-10-18T03:51:04Z, adaptiveoptics, closed
CONTRIBUTOR, 2016-11-15T19:12:28Z, zoffixznet, 2016-10-28T15:31:12Z, ggoebel, closed
