Author,Entropy
hayter,0.6931471805599453
sfischer13,0.6931471805599453
fluca1978,2.3854811119784087
lucasbuchala,1.0397207708399179
felix,1.0599180549417697
prammer1,0.6931471805599453
Curt.Tilmes,1.242453324894
doug,1.539654447440098
robert.newbould,0.6931471805599453
b2gills,1.976516655751949
andrew,0.6931471805599453
alex,0.6931471805599453
adriaan.larmuseau,1.4142790651247086
cmasak,1.7982739693704313
patch,0.6931471805599453
nathaniel_heyer,0.6931471805599453
bduggan,1.23198627112355
tommystanton,0.6931471805599453
bruce.gray,3.090195745642314
krunen,0.6931471805599453
revhippie,2.1192809219098505
lotsmanov89,0.6931471805599453
vendethiel,1.0397207708399179
pawelmurias,1.0397207708399179
sanchezchristian,3.320237383858575
39702500+KlappeZuAffeTot,0.6931471805599453
bri,2.6363949336679875
joshuamy,0.6931471805599453
parabolize,1.242453324894
email,1.4680602034990462
dale.evans,0.6931471805599453
mt1957,1.3862943611198906
p.spek,1.0239287996389363
timonator,2.4203824528882643
trey,0.6931471805599453
edwin.steiner,1.198849312913621
scriplit,0.6931471805599453
sgeoster,0.6931471805599453
nxadm,0.6931471805599453
paul,2.977813168178135
ianmcb,0.6931471805599453
liz,2.5888545684177893
ccworld1000,1.0821955300387671
darius,0.6931471805599453
allan,1.945910149055313
skelic3,0.6931471805599453
brian,0.6931471805599453
curt,0.9433483923290391
will,4.675205964894927
samantham,2.7600094483416235
jsoref,2.4536704658548745
steveb,0.6931471805599453
eric-github,1.0114042647073518
davidnmfarrell,0.6931471805599453
shlomif,0.9433483923290392
studerj1.mail,4.94424151962703
nine,1.3862943611198906
flexibeast,1.242453324894
mathieu,1.4750763110546947
book,2.265848859091473
matthias.bloch,0.6931471805599453
ilmari.vacklin,1.0986122886681096
flussence,1.3862943611198906
LLFourn,2.431905766278816
dmc00,1.0549201679861442
mryan50,1.0397207708399179
teodozjan,1.4836940556458569
treyharris,1.2130075659799042
moritz,3.5294190198662108
ei,0.6931471805599453
benjamin.tyler,3.3861314337088673
justin,2.1863402141730144
skelic2,0.9743147528693494
antquinonez,2.1396054825513966
zoffixznet,2.9126645511092204
x.fix,1.0397207708399179
altay-man,5.218127206109667
steve.mynott,2.6830198969615147
rafaelschipiura,1.9072839993213786
neil.svedberg,0.6931471805599453
zhuomingliang,0.6931471805599453
github,1.0397207708399179
arilik.ismail,0.6931471805599453
ilmari,0.6931471805599453
carl,0.6931471805599453
sterling,2.161696653428355
pauladelahoz,0.6931471805599453
jgoff,0.6931471805599453
cale.short,1.2026329866830086
karl.yerkes,1.0397207708399179
wander4096,2.6317099001964235
abcxyz,0.6931471805599453
tobias.leich,0.6931471805599453
garrett.goebel,0.6931471805599453
filip,0.6931471805599453
vynce.montgomery,1.4978661367769952
themanchicken,1.7917594692280547
ElenaMerelo,0.9184277849930975
ceci.merelo,0.9743147528693494
ddgreen,2.4149833755902463
nenamer,0.6931471805599453
francois,0.6931471805599453
bwilcox,2.534720931019887
dbrunton,1.490230530118954
use_v6,1.69240886298655
neil.shadrach,1.0986122886681096
nadim.khemir,1.0986122886681096
john.haltiwanger,1.750031474595769
simon,1.7485681115889082
cedric,1.0986122886681096
zakame,1.5498260458782016
angr7991,1.8462202193216333
sjn,1.5810937501718239
daniel.dehennin,1.0114042647073518
jjatria,1.0913030006468518
tirkarthi,0.6931471805599453
perrettdl,1.6467891802206345
blaabs,0.6931471805599453
holli.holzer,0.6931471805599453
alex.jakimenko+github,0.6931471805599453
raiph.mellor,2.068829241558231
rightfold,0.6931471805599453
rob,2.0883047678259024
sog,1.567081229293324
ckeirsey2,0.6931471805599453
finanalyst,0.6931471805599453
tsmith,0.6931471805599453
tokuhirom,1.0397207708399179
martin,0.6931471805599453
sam,0.6931471805599453
vincent-github,0.6931471805599453
dzwell,1.3862943611198906
ronaldxs,1.931257505359027
uzluisf,1.0397207708399179
mienaikage,1.242453324894
athoscr,0.6931471805599453
cookbook_000,0.6931471805599453
m.krull,1.2130075659799042
dmaestro,1.0397207708399179
johnnyspoon,1.0789922078775833
after.fallout,0.6931471805599453
fh,0.6931471805599453
cuong.manhle.vn,0.6931471805599453
antoniogamiz10,0.8894844141737215
donaldh,1.1682824501765625
jalbertcruz,0.6931471805599453
peter.stuifzand,0.6931471805599453
clint_who,0.6931471805599453
nlogan,1.7379834485870502
madcap.russo,1.0346012329101812
jmg3000,0.6931471805599453
akim,0.6931471805599453
olshevskiy87,1.6094379124341005
cpan,3.4806699283197866
jan-olof.hendig,3.261262524109389
bahtiar,1.0397207708399179
trixium,1.0397207708399179
info,2.037734194785151
kris,0.6931471805599453
pmichaud,2.433212433326565
david.warring,1.3592367006650063
nicq20,1.3778195080390327
cygx,0.6931471805599453
tom.browder,2.839467950691592
moritz.lenz,2.1200590369760146
robertle,1.0397207708399179
naoum88,1.8479694367953767
tadzikes,1.0397207708399179
bslaabs,0.6931471805599453
matthew.king,0.6931471805599453
cxreg,0.6931471805599453
scolinet,1.337829610145688
claudio.ramirez,0.9743147528693494
fritz.zaucker,1.808045719583997
barryfoxbat,1.0397207708399179
lloyd.fourn,1.3592367006650063
muraiki,0.6931471805599453
autarch,0.6931471805599453
gdonald,0.6931471805599453
siavash.askari.nasr,1.483694055645857
lw,1.0397207708399179
jnthn,2.2307528555558855
wenzel.peppmeyer,3.1719263112857146
thormichael,1.0397207708399179
coleoid,2.3114234446919735
nastavs,0.6931471805599453
alexmoquin,4.466697338625429
larry,1.4491961956672805
titsuki,2.3018510116195725
dabe,1.0986122886681096
gotoexit,0.6931471805599453
andreoss,1.0986122886681096
jecki,0.6931471805599453
seatek,1.808950656364413
jns,2.142160441300096
simula67,0.6931471805599453
lumimies,0.6931471805599453
aluaces,0.6931471805599453
alex.jakimenko,3.7267967502878476
mattoates,1.0397207708399179
fischer.emeric,1.0397207708399179
ugexe,1.3862943611198906
heiko_jansen,1.0397207708399179
smls75,4.951052709033543
gjb,0.6931471805599453
34807039+ilyash-b,0.6931471805599453
brian.d.foy,1.0397207708399179
tim.dolores,2.2240978714293633
MasterDuke17,2.047148725074601
Tyil,0.6931471805599453
thundergnat,0.6931471805599453
glitchmr,1.4847764102701837
zhtwnpanta,0.6931471805599453
gabor,1.8362088450217287
ZzZombo,1.7868083399845722
armand.halbert,2.773956154655249
awwaiid,1.5594765406595488
mlenz,2.181557811806695
molecules,2.1540778209233644
nbrown04,0.6931471805599453
patrick,0.6931471805599453
215106+cfa,3.014164604138897
rnddim,1.7058102909449788
grinnz,0.6931471805599453
garu,0.6931471805599453
raydiak,2.562952292932211
jgabriele,1.64622455382987
jns+git,2.2139333550750493
avuserow,0.6931471805599453
duff,1.0114042647073516
melezhik,0.6931471805599453
bbkr,0.6931471805599453
szabgab,1.6190030417334824
hello,0.6931471805599453
f.sizov,0.6931471805599453
jarkko,1.3667110520552042
jjmerelo,3.332360052950998
ungrim97,0.9743147528693494
grizzly,1.6364955728889843
cschwenz,1.0986122886681096
developer,0.6931471805599453
pub.claudio,1.9054200431101371
ahmad.zawawi,1.5810937501718234
jenkinsd,0.6931471805599453
vz-github,1.242453324894
geoff,2.5518141431909362
mkrull,0.6931471805599453
