File,Entropy,Authors,Size
doc/Type/Semaphore.pod6,0.9602297178607612,3,2223
doc/Language/experimental.pod6,0.9483627932161026,9,1851
doc/Type/X/OS.pod6,1,2,403
CONTRIBUTING.md,0.8203873580083222,19,11847
assets/sass/style.scss,0.6976404929651937,9,10900
doc/Type/Tap.pod6,0.9629610647945144,5,558
doc/Type/X/Syntax/Reserved.pod6,0.8112781244591328,2,651
doc/Type/X/Syntax/Regex/Adverb.pod6,0.5916727785823274,2,690
doc/Type/X/Phaser/PrePost.pod6,0.9709505944546688,2,715
doc/Type/X/Placeholder/Mainline.pod6,0.946394630357186,3,669
doc/Language/5to6-nutshell.pod6,0.817918599214135,18,52490
doc/Language/routines.pod6,0,1,2117
doc/Type/X/IO/Chmod.pod6,0.9182958340544894,2,334
doc/Language/5to6-perlfunc.pod6,0.836552208541682,24,63696
README.es.md,0.7114496135832084,9,6383
doc/Type/X/Does/TypeObject.pod6,0.9852281360342515,2,1099
doc/Type/X/Declaration/Scope.pod6,0.9709505944546688,2,745
.travis.yml,0.6785234403956154,10,567
doc/Language/faq.pod6,0.817915252687129,23,33995
html/css/custom-theme/images/ui-bg_inset-hard_95_e47286_1x100.png,0.9182958340544894,2,313
doc/Type/IO/Socket/Async.pod6,0.8846321682844744,12,7948
doc/Language/math.pod6,0.6962122601251458,2,9281
doc/Language/modules-extra.pod6,0.9697238998682473,5,2143
doc/Type/X/Channel/SendOnClosed.pod6,0.8649735207179272,3,623
doc/Type/Pod/Heading.pod6,0,1,280
template/footer.html,0.8471560358713162,11,1157
lib/Perl6/TypeGraph/Viz.pm6,0.8631205685666311,2,3745
doc/Type/X/Syntax/Missing.pod6,0.9709505944546688,2,639
doc/Type/X/Comp.pod6,0,1,1118
doc/Type/Pod/Block/Named.pod6,1,2,384
highlights/highlight-filename-from-stdin.coffee,0,1,1221
doc/Type/Any.pod6,0.8643344038982137,19,28946
doc/Type/Set.pod6,0.8491853220906186,5,3279
util/sync,0,1,95
doc/Type/X/Attribute/Undeclared.pod6,0.9182958340544894,2,666
doc/Language/py-nutshell.pod6,0.7386923764216948,10,15218
template/search_template.js,0.833015507063406,9,10682
doc/Type/IO/ArgFiles.pod6,1.0000000000000002,5,1103
xt/words.pws,0.5009314832228682,10,12197
doc/Type/IO.pod6,0.8020206036607255,18,14186
doc/Type/Backtrace.pod6,0.8804820237218407,4,1617
doc/Type/Pod/Block/Declarator.pod6,1,2,605
doc/Type/Cursor.pod6,0.9306282244165779,6,1067
doc/Type/X/Channel/ReceiveOnClosed.pod6,0.8649735207179272,3,697
doc/Type/Seq.pod6,0.9315108495536182,9,5115
shippable.yml,0,1,504
doc/Type/X/Anon/Augment.pod6,0.6695919455357792,3,560
assets/js/jquery-ui.min.js,0,1,32162
doc/Type/Pod/Item.pod6,0.9182958340544894,2,292
doc/Language/modules-core.pod6,0.8232557641736382,6,2070
