Year, Commits, Authors, Entropy
2012-01T00:00:00, 497, 20, 1.3530224260039059
2013-01T00:00:00, 22, 12, 2.3265432531941137
2014-01T00:00:00, 390, 24, 1.7669601210407302
2015-01T00:00:00, 1676, 106, 3.114493465307125
2016-01T00:00:00, 2905, 116, 3.1016504457307263
2017-01T00:00:00, 2271, 92, 3.0423131793195637
2018-01T00:00:00, 1332, 56, 2.3658299437378565
