Author,Entropy
2010,2.0982737395252498
perl,0.6931471805599453
will,2.7727693755346627
tomboy64,0.6931471805599453
kyleha,1.8109052142553126
thecrux,0.6931471805599453
ujwalic,0.6931471805599453
daxim,0.6931471805599453
moritz,3.532257856700331
bart.wiegmans,0.6931471805599453
danielcliffordmiller,0.6931471805599453
andrew,1.559581156259877
kraai,0.6931471805599453
ctp,0.6931471805599453
brian,1.4978661367769954
fernandocorrea,1.511018928175694
ilmari,1.0397207708399179
dwhipp,1.4941751382893085
nicq20,0.6931471805599453
rogers-perl6,0.6931471805599453
thatlemon,1.7751250090009734
dod,0.6931471805599453
ufobat,0.6931471805599453
timo,1.540305825226517
szabgab,1.0900596587107838
ahmad.zawawi,1.7094727765842133
jerry.gay,0.6931471805599453
kris,1.682072039389375
fernando.correa,1.631345420808597
ungrim97,1.242453324894
madcap.russo,1.242453324894
edwin.steiner,0.6931471805599453
2009,1.7677614722893296
sog,1.9498583921253263
sjn,1.3321790402101223
tony.odell,0.6931471805599453
christoph_git,1.945910149055313
email,3.280772138616201
samantham,2.578826856048148
jaume.martif,0.6931471805599453
radu_cs85,0.6931471805599453
gam,0.6931471805599453
hello,1.0397207708399179
rightfold,0.6931471805599453
cb,1.6151195500604119
geoff,1.5756996534780692
tewk,0.6931471805599453
last.of.the.careless.men,1.0397207708399179
studerj1.mail,1.704642389995689
tbrowde,0.6931471805599453
nxadm,0.6931471805599453
p.spek,0.6931471805599453
gerd.r.devel,1.8065071652616693
jan-olof.hendig,1.7147431158325055
jns+git,2.002356421522029
cognominal,1.7731058914351236
jeff,1.6094379124341003
archbaum,1.0397207708399179
flussence,1.6924088629865501
rnddim,2.332856622489305
pmichaud,4.1554365925580194
bob,0.6931471805599453
mmcleric,1.6094379124341003
jdhore1,1.4941751382893085
timonator,2.9398475211835846
scolinet,2.1433165836265218
skaji,0.6931471805599453
rurban,1.5403058252265167
vlmarek,1.0114042647073516
altay-man,1.4298983731002692
sno,1.7351264569629228
quester.pm,1.676987774322417
jenkinsd,0.9184277849930976
virtuallysue,1.0986122886681096
mestre.smash,1.0986122886681096
seatek,0.6931471805599453
felix,1.8954195476168085
ambs,2.7759755531037946
will.coleda,0.6931471805599453
cpan,3.3280350991881726
dankogai+github,0.6931471805599453
panu.ervamaa,0.6931471805599453
audreyt,3.0039555662607835
Bernhard.Schmalhofer,2.6328818079774226
webmaster,0.6931471805599453
john,0.6931471805599453
mark,2.542775201953815
cspencer,2.199122324295375
matthew,1.8143075196071252
ruz,0.6931471805599453
snarkyboojum,1.8711604142318066
vendethiel,1.4306853360872929
bernhard,1.0986122886681096
mberends,1.8300537871750167
skelic2,0.6931471805599453
fawaka,2.460561154575991
raiph.mellor,0.6931471805599453
andy,2.4362669451147068
paul,1.4054057232198653
glitchmr,0.6931471805599453
lumimies,1.0397207708399179
zhuomingliang01,1.9928036269480738
larry,3.0781440590076254
bartwiegmans,0.6931471805599453
shlomif,0.6931471805599453
kaiepi,1.6987829895138011
david.warring,2.064474847050614
kentrak,0.6931471805599453
ash,0.6931471805599453
ingy,0.6931471805599453
duff,3.3230086231848204
bri,2.2671525998846764
gigantic.midget,0.6931471805599453
christoph_github,0.6931471805599453
donald,2.3134869955129376
stefanor,2.6846193358648858
allison,2.6283618032429006
jntn,0.6931471805599453
github,2.2641072306051955
ugexe,2.5737020281347673
martin,2.942362648995144
hippo,2.679524447275625
mls,1.7508680361475695
dmaestro,0.6931471805599453
donaldh,1.6889018612382525
kristofbogaerts,3.3321533397575513
cuong.manhle.vn,1.660779861736039
wknight8111,3.292449107659739
smash,1.7990370595847085
jns,1.7479662368880953
bslaabs,2.3040143233859114
tadzikes,3.101618211637633
paultcochrane,3.196352793171196
jkeenan,2.274003541168478
pawelmurias,2.472086208073813
peschwa,2.668594436791687
lloyd.fourn,1.5905606428318713
root+github,1.6094379124341005
chris,1.4270610433807247
dakkar,1.5229550675313182
b2gills,1.7982739693704315
christoph,1.3862943611198906
book,0.9743147528693494
sterling,1.3321790402101223
bahtiar,1.3592367006650063
steve.mynott,2.328310505594735
autarch,1.2130075659799042
grondilu,1.246625489005957
rjbs,1.0397207708399179
chromatic,2.697391994057994
sjn+gnurf,1.0986122886681096
jonathan,2.16597649534005
tene,2.6699516147447104
kristof,2.587586329768749
john.haltiwanger,1.094804668630383
tim.dolores,1.9652370493802307
LLFourn,1.0397207708399179
vito.perleone+github,0.6931471805599453
mlenz,2.687278706173779
francois.perrad,1.6242225882334724
qiuhongwen,1.0397207708399179
nlogan,2.401489108740933
gp,2.1639556568820564
awwaiid,1.173206116185261
kyle,1.8346096344580887
bacek,1.9770061729088613
wenzel.peppmeyer,1.242453324894
mattoates,0.6931471805599453
me,1.5607104090414063
anteusz,1.3321790402101223
Jerry.Gay,2.7741567949269625
bruce,2.3056573382986394
cpinfold,1.464816384890813
smls75,1.0397207708399179
joshuamy,1.242453324894
jesse,0.6931471805599453
eternaleye,1.0986122886681096
jani+perl6-2010,0.6931471805599453
bwilcox,1.1973401339967782
colomon,2.8151666493612004
justin,0.6931471805599453
carlin,0.6931471805599453
avarab,0.6931471805599453
patrick.abisalloum,1.3319443540588403
ronaldxs,1.5672249091837829
pokorra,1.0609581504393426
dale.evans,0.6931471805599453
filip,2.036840744526001
root,1.0986122886681096
cosimo,0.6931471805599453
Daenyth+git,0.6931471805599453
parrot,1.0397207708399179
cookbook_000,0.6931471805599453
tom.browder,1.7460891823315872
zoffixznet,2.2572770119234393
jepeway,0.6931471805599453
lue,1.0986122886681096
rob,2.6313762836517607
titsuki,1.8064420819680964
julian.notfound,1.2222669235381562
tokuhirom,0.6931471805599453
perl6git,1.0986122886681096
unobe,1.9626625123220525
jnthn,4.025157125385488
plobsing,1.0397207708399179
thundergnat,1.242453324894
q,0.9433483923290391
parrotcode,1.3321790402101223
Lanny.Ripple,0.6931471805599453
uasi,1.4270610433807247
jgoff,0.6931471805599453
kbenson,0.6931471805599453
liz,3.8259736201296857
MasterDuke17,1.5268781472745927
clifton.wood,1.242453324894
Curt.Tilmes,1.0397207708399179
raydiak,1.9048127101336303
foollbar,0.6931471805599453
amir.aharoni,1.3321790402101223
matt,1.0986122886681096
michael,0.6931471805599453
perl6-git,0.6931471805599453
glassflag,0.6931471805599453
marcus,1.2798542258336676
nine,3.3052230750157063
tommystanton,0.6931471805599453
m.s.khorkov,1.0986122886681096
nastavs,1.5670812292933243
zhuomingliang,2.17157089695751
moritz.lenz,1.762313710313959
bduggan,0.6931471805599453
blaabs,1.3667110520552042
alexmoquin,2.4188272730710687
nick.glencross,1.0986122886681096
simon,1.0549201679861442
rakudoperl,1.0549201679861442
markmont,1.3862943611198906
bruce.gray,2.83827193534577
siddhantsaraf,1.0397207708399179
arnsholt,2.5633872272442844
gjb,2.233249749481654
ddgreen,3.3865493851086317
rafl,3.2444926304072967
wellnhofer,1.7479662368880953
use_v6,2.609020407323636
taboege,0.6931471805599453
nick,1.5810937501718239
felliott,1.4941751382893085
cygx,1.5890269151739727
walde.christian,0.6931471805599453
lucasbuchala,2.2073267891908177
labensigma,0.6931471805599453
Jonathan,1.4708084763221114
Worthington,0.6931471805599453
tyler.l.curtis,1.9061547465398496
abraxxa,1.5607104090414063
dagurval,1.3208883431493221
chip,2.3978952727983707
cmasak,3.223667813790073
alex.jakimenko,2.4617318831493145
wander4096,1.4750763110546947
jstuder,0.6931471805599453
juerd,1.6674619334292948
brian.gernhardt,1.0986122886681096
lt,1.7273478271422196
benji,0.6931471805599453
kernel.julien,1.1682824501765625
diakopter,1.0397207708399179
teodozjan,1.3592367006650063
