File,Authors
lib/variables.pod, 9
doc/Language/nativetypes.pod6, 2
doc/Type/X/NYI.pod6, 3
t/pod-htmlify.t, 7
doc/Type/Scheduler.pod6, 3
lib/EnumMap.pod, 2
lib/Baggy.pod, 1
doc/Language/contributors.pod6, 6
doc/Type/Signature.pod6, 23
doc/Type/PositionalBindFailover.pod, 2
doc/Language/contexts.pod6, 3
README.zh.md, 4
doc/Type/CallFrame.pod6, 7
lib/Type/Metamodel/MultipleInheritance.pod, 2
lib/Mu.pod, 6
doc/Type/Semaphore.pod, 4
doc/Type/X/Temporal/InvalidFormat.pod6, 4
lib/X/IO/Chmod.pod, 1
xt/space-after-commma.t, 2
htmlify.p6, 34
doc/Type/Variable.pod, 3
doc/Type/NFC.pod, 1
doc/Type/Temporal.pod, 2
doc/Type/X/IO/Rmdir.pod, 1
lib/Language/classtut.pod, 8
lib/Type/X/Role/Initialization.pod, 2
search_template.html, 1
doc/Type/Setty.pod, 2
doc/Type/Seq.pod, 4
doc/Type/IO/Socket/Async.pod, 6
lib/Perl6/Documentable/Registry.pm6, 1
lib/Type/X/Method/InvalidQualifier.pod, 2
util/compile-sass.sh, 2
lib/Type/X/Placeholder/Mainline.pod, 2
doc/Type/Pod/Block.pod6, 4
doc/Type/Capture.pod6, 7
META6.json, 6
doc/Type/X/IO/Rmdir.pod6, 3
doc/Type/Numeric.pod6, 6
doc/Type/IO/ArgFiles.pm, 1
lib/Type/Exception.pod, 4
lib/Type/Metamodel/ClassHOW.pod, 2
doc/Type/Failure.pod, 1
doc/Type/Associative.pod6, 4
lib/Type/Setty.pod, 2
lib/Parameter.pod, 3
doc/Language/subscripts.pod6, 15
lib/Type/Dateish.pod, 4
doc/Type/NumStr.pod6, 6
doc/Type/Grammar.pod, 1
lib/Type/X/Mixin/NotComposable.pod, 3
sketch/html/css/custom-theme/images/ui-bg_flat_0_888888_40x100.png, 1
sketch/html/css/custom-theme/jquery-ui-1.8.21.custom.css, 1
util/missing-types.p6, 3
lib/Type/DateTime.pod, 4
lib/Type/Capture.pod, 7
template/footer_template.html, 3
html/images/camelia.png, 3
doc/Type/X/Anon/Multi.pod, 1
lib/Type/Numeric.pod, 4
doc/Type/Slip.pod, 5
lib/X/IO/Mkdir.pod, 1
doc/Type/Int.pod, 9
doc/Language/5to6-nutshell.pod, 15
util/ignored-methods.txt, 1
lib/BagHash.pod, 1
sketch/html/css/custom-theme/images/ui-bg_flat_75_ffffff_40x100.png, 1
doc/Type/Rat.pod6, 6
doc/Type/X/IO/Symlink.pod6, 3
lib/Type/PositionalBindFailover.pod, 2
doc/Type/QuantHash.pod, 2
lib/Cursor.pod, 2
doc/Type/Num.pod, 2
doc/Type/X/Bind/Slice.pod6, 2
type-graph.txt, 15
doc/Type/PositionalBindFailover.pod6, 4
doc/Type/X/Syntax/Augment/Role.pod, 2
doc/Type/X/Bind/Slice.pod, 1
doc/Type/X/Syntax/InfixInTermPosition.pod, 1
doc/Type/Order.pod6, 5
doc/Type/X/Bind/NativeType.pod6, 3
doc/Type/X/Proc/Async/OpenForWriting.pod, 1
lib/Perl6/TypeGraph.pm6, 1
lib/Whatever.pod, 1
assets/js/jquery.tablesorter.js, 1
doc/Type/IO/Path.pod, 10
doc/Type/X/Signature/Placeholder.pod6, 2
doc/Type/Promise.pod6, 11
doc/Language/js-nutshell.pod6, 4
lib/Type/X/IO/Dir.pod, 2
doc/Type/CurrentThreadScheduler.pod, 3
t/perl-nbsp.t, 1
doc/Language/tables.pod6, 6
xt/links-not-links.t, 3
README.de.md, 4
doc/Type/NFD.pod6, 4
sketch/html/css/custom-theme/images/ui-bg_glass_75_c0e472_1x400.png, 1
doc/Type/X/Phaser/Multiple.pod6, 2
doc/Type/X/Pod.pod, 1
lib/Type/Baggy.pod, 3
lib/Type/IO/ArgFiles.pm, 1
lib/Any.pod, 3
lib/Perl6/Type.pm, 5
html/js/jquery-1.7.2.min.js, 2
lib/X/Placeholder/Block.pod, 1
lib/X/Method/Private/Unqualified.pod, 1
lib/X/Phaser/PrePost.pod, 1
doc/Type/Any.pod, 7
doc/Type/Date.pod, 5
util/xt-recent-aspell.p6, 1
doc/Type/Supply.pod6, 15
doc/Type/Version.pod6, 7
lib/Type/Temporal.pod, 2
lib/Type/Proc.pod, 4
doc/Language/nativecall.pod, 16
doc/Language/setbagmix.pod, 7
doc/Type/X/Syntax/Term/MissingInitializer.pod, 1
lib/Type/BagHash.pod, 3
lib/Type/ObjAt.pod, 2
html/index.html, 1
doc/Type/X/Syntax/Comment/Embedded.pod, 1
lib/Language/5to6.pod, 13
lib/AST.pod, 2
doc/Type/Metamodel/MethodContainer.pod, 2
doc/Type/X/Pod.pod6, 1
doc/Type/Bool.pod6, 7
doc/Type/X/Inheritance/NotComposed.pod, 2
lib/Type/X/Attribute/Undeclared.pod, 3
doc/Type/X/Promise/Vowed.pod6, 1
doc/Type/X/Redeclaration.pod6, 2
doc/Type/X/IO/Symlink.pod, 1
lib/X/Composition/NotComposable.pod, 1
lib/IO/FileTestable.pod, 2
lib/Pod/To/SectionFilter.pm6, 1
doc/Language/unicode.pod6, 13
doc/Language/subscripts.pod, 10
doc/Type/Metamodel/RoleContainer.pod6, 2
lib/Type/Pod/Block/Code.pod, 2
lib/Type/X/IO/Rename.pod, 2
doc/Type/X/Anon/Multi.pod6, 2
doc/Language/unicode_ascii.pod6, 3
doc/Type/X/Syntax/NegatedPair.pod6, 1
doc/Language/community.pod6, 4
doc/Type/SetHash.pod, 1
.github/issue_template.md, 2
lib/Pod/Convenience.pm6, 9
doc/Programs/02-reading-docs.pod6, 3
lib/Type/Cool.pod, 10
lib/SetHash.pod, 1
README.nl.md, 2
doc/Type/Str.pod6, 23
xt/duplicates.t, 3
xt/doc, 1
doc/Type/Pair.pod6, 11
lib/Type/X/Numeric/Real.pod, 2
doc/Type/X/Temporal/InvalidFormat.pod, 1
lib/X/Mixin/NotComposable.pod, 1
doc/Type/X/Syntax/Variable/Numeric.pod, 1
lib/Language/subscripting.pod, 1
lib/Enum.pod, 2
, 256
lib/X/IO.pod, 1
doc/Type/Num.pod6, 8
lib/modules.pod, 1
template/head.html, 8
lib/Type/X/Syntax/NegatedPair.pod, 2
index.p6, 2
doc/Type/Map.pod, 3
doc/Type/Real.pod, 3
html/css/custom-theme/images/ui-bg_flat_0_888888_40x100.png, 2
util/test-links.sh, 2
doc/Language/5to6.pod, 1
lib/Type/X/Inheritance/Unsupported.pod, 2
doc/Type/ComplexStr.pod, 4
doc/Type/X/IO/Dir.pod6, 3
lib/X/Syntax/NegatedPair.pod, 1
lib/Signature.pod, 3
doc/Language/packages.pod, 2
doc/Type/Junction.pod, 4
doc/Type/X/Syntax/Malformed.pod6, 2
doc/Type/Telemetry/Sampler.pod6, 3
doc/Type/DateTime.pod6, 10
doc/Type/IO/Socket/INET.pod, 3
doc/Type/List.pod6, 20
lib/Test-Files.pm, 2
doc/Type/X/Promise/CauseOnlyValidOnBroken.pod, 1
doc/Language/objects.pod, 13
Dockerfile, 2
lib/Type/IO/Spec/Cygwin.pod, 2
doc/Type/X/Syntax/Signature/InvocantMarker.pod6, 2
doc/Type/X/Does/TypeObject.pod, 1
doc/Type/X/Syntax/UnlessElse.pod, 1
lib/Language/grammars.pod, 10
lib/Type/Pod/To/SectionFilter.pm, 1
Build.pm, 4
lib/Language/unicode_entry.pod, 5
doc/Type/NumStr.pod, 4
html/js/jquery-1.11.3.min.js, 2
doc/Type/Set.pod, 1
lib/Type/X/Syntax/Variable/Match.pod, 2
doc/Type/X/NYI.pod, 1
lib/Capture.pod, 2
doc/Language/terms.pod, 6
README.md, 25
doc/Type/X/Str/Numeric.pod, 1
lib/Type/X/Syntax/Augment/WithoutMonkeyTyping.pod, 4
t/03-pod6.t, 1
lib/Type/Regex.pod, 2
html/favicon.ico, 1
doc/Type/Real.pod6, 7
lib/Type/nativeInt.pod, 2
doc/Type/VM.pod6, 4
doc/Language/about.pod6, 12
lib/Language/testing.pod, 5
doc/Type/IO/Path/QNX.pod6, 2
lib/X/Method/NotFound.pod, 1
doc/Type/Signature.pod, 11
util/extract-examples.p6, 3
doc/Type/X/Proc/Async/MustBeStarted.pod6, 3
doc/Type/X/Syntax/AddCategorial/MissingSeparator.pod, 2
lib/Iterator.pod, 1
lib/X/Syntax/Confused.pod, 1
README.jp.md, 6
lib/Perl6/Documentable.pm6, 1
doc/Type/Pod/Block.pod, 4
doc/Type/X/Augment/NoSuchType.pod, 1
lib/X/Redeclaration.pod, 1
doc/Type/IO/Spec.pod, 4
.gitignore, 12
doc/Type/X/ControlFlow.pod, 1
doc/Type/X/Parameter/WrongOrder.pod, 1
doc/Type/X/Temporal.pod, 1
lib/Type/IO/Socket/Async.pod, 3
lib/Parcel.pod, 3
