Month, Closed.Issues, Author
 2018-03-01T00:00:00, 42, JJ
 2018-03-01T00:00:00, 55, !JJ
 2018-04-01T00:00:00, 75, JJ
 2018-04-01T00:00:00, 32, !JJ
 2018-05-01T00:00:00, 165, JJ
 2018-05-01T00:00:00, 30, !JJ
