Time,Open Issues
2012-07-04T14:30:37Z,1
2012-07-04T14:32:43Z,0
2012-08-28T19:06:14Z,1
2012-09-04T13:36:41Z,2
2012-12-25T14:47:19Z,3
2012-12-25T16:29:12Z,2
2013-01-02T08:18:36Z,3
2013-01-02T13:35:27Z,2
2013-05-28T08:33:43Z,3
2013-11-07T17:12:56Z,4
2014-02-13T03:32:51Z,3
2014-02-17T20:18:48Z,4
2014-02-17T20:41:18Z,3
2014-02-17T21:18:30Z,4
2014-02-17T21:18:57Z,3
2014-04-03T08:38:04Z,4
2014-05-22T19:32:03Z,5
2014-05-22T19:38:54Z,4
2014-06-19T05:45:15Z,3
2014-06-20T04:39:02Z,4
2014-06-20T04:44:24Z,3
2014-06-20T05:22:30Z,2
2015-01-02T13:58:30Z,1
2015-06-07T22:40:33Z,2
2015-06-08T07:33:57Z,1
2015-06-08T21:03:43Z,2
2015-06-08T21:08:46Z,1
2015-06-11T18:49:38Z,2
2015-06-13T13:49:51Z,3
2015-06-14T12:23:12Z,4
2015-06-21T19:24:45Z,5
2015-06-21T21:03:09Z,4
2015-06-22T21:18:45Z,5
2015-06-26T11:18:59Z,6
2015-06-26T23:02:48Z,7
2015-06-28T19:54:58Z,8
2015-06-28T20:14:55Z,7
2015-07-05T18:37:35Z,8
2015-07-05T18:43:51Z,7
2015-07-06T20:51:16Z,8
2015-07-11T07:26:31Z,7
2015-07-19T23:08:48Z,8
2015-07-21T02:24:05Z,9
2015-07-21T14:29:49Z,8
2015-07-22T15:09:23Z,9
2015-07-22T19:18:14Z,8
2015-07-22T19:25:04Z,7
2015-07-25T08:13:59Z,6
2015-07-25T10:11:13Z,5
2015-07-25T21:00:33Z,6
2015-07-25T23:01:20Z,7
2015-07-25T23:05:47Z,6
2015-07-25T23:06:57Z,5
2015-07-26T19:19:47Z,6
2015-07-26T19:51:07Z,5
2015-07-27T13:46:55Z,6
2015-07-27T13:59:42Z,5
2015-07-27T15:59:14Z,6
2015-07-27T15:59:24Z,5
2015-07-31T00:18:00Z,6
2015-07-31T04:36:43Z,5
2015-08-05T20:59:47Z,6
2015-08-05T21:46:49Z,7
2015-08-06T05:23:16Z,8
2015-08-06T12:49:02Z,9
2015-08-07T10:21:32Z,10
2015-08-10T18:21:19Z,11
2015-08-22T12:44:58Z,12
2015-08-22T13:10:56Z,11
2015-08-22T13:53:59Z,12
2015-08-29T11:08:31Z,13
2015-08-29T12:37:35Z,12
2015-08-31T11:59:50Z,13
2015-08-31T12:03:43Z,12
2015-09-01T12:34:22Z,13
2015-09-02T08:44:13Z,12
2015-09-04T19:16:45Z,13
2015-09-04T19:24:58Z,12
2015-09-13T16:15:18Z,13
2015-09-13T18:25:36Z,12
2015-09-13T20:31:10Z,13
2015-09-13T20:32:50Z,12
2015-09-14T20:26:09Z,13
2015-09-14T20:43:59Z,12
2015-09-14T21:52:02Z,13
2015-09-15T02:15:09Z,12
2015-09-16T19:13:18Z,13
2015-09-16T19:14:07Z,12
2015-09-16T19:41:03Z,13
2015-09-17T11:53:17Z,14
2015-09-17T11:53:43Z,15
2015-09-17T11:53:54Z,16
2015-09-17T13:55:25Z,15
2015-09-19T02:03:18Z,16
2015-09-25T08:11:29Z,17
2015-09-25T08:19:10Z,16
2015-09-25T14:56:22Z,17
2015-09-26T03:50:29Z,18
2015-09-26T03:50:48Z,17
2015-09-26T14:55:44Z,18
2015-09-28T11:49:41Z,19
2015-09-28T15:07:37Z,18
2015-09-28T15:15:50Z,19
2015-09-29T17:29:45Z,20
2015-09-30T13:20:45Z,19
2015-09-30T20:39:04Z,20
2015-10-03T00:14:28Z,21
2015-10-03T00:25:44Z,20
2015-10-03T02:22:02Z,21
2015-10-03T02:32:04Z,20
2015-10-05T20:27:30Z,19
2015-10-07T03:52:49Z,20
2015-10-07T04:06:20Z,19
2015-10-07T04:07:03Z,20
2015-10-07T04:09:26Z,19
2015-10-07T19:05:09Z,20
2015-10-07T19:07:03Z,21
2015-10-07T20:22:04Z,22
2015-10-08T02:38:33Z,23
2015-10-08T17:12:34Z,22
2015-10-08T17:13:24Z,21
2015-10-08T18:07:24Z,20
2015-10-08T20:21:29Z,21
2015-10-08T20:44:02Z,20
2015-10-08T21:39:00Z,21
2015-10-08T23:08:22Z,20
2015-10-09T03:06:11Z,19
2015-10-09T03:06:46Z,18
2015-10-09T21:57:46Z,19
2015-10-09T22:40:04Z,18
2015-10-10T02:48:34Z,17
2015-10-11T12:10:17Z,18
2015-10-11T12:14:48Z,19
2015-10-11T12:43:11Z,18
2015-10-11T12:43:38Z,17
2015-10-11T20:20:59Z,18
2015-10-11T20:56:54Z,17
2015-10-12T04:59:21Z,18
2015-10-12T05:05:24Z,19
2015-10-12T14:45:50Z,20
2015-10-12T16:43:37Z,19
2015-10-12T17:22:37Z,20
2015-10-12T17:31:04Z,21
2015-10-13T03:32:48Z,20
2015-10-13T18:46:41Z,21
2015-10-13T21:13:40Z,20
2015-10-14T02:43:28Z,21
2015-10-14T02:56:27Z,20
2015-10-14T17:33:54Z,21
2015-10-14T21:06:17Z,22
2015-10-14T21:09:00Z,21
2015-10-15T07:11:44Z,22
2015-10-15T07:13:03Z,21
2015-10-15T07:30:00Z,22
2015-10-15T07:37:04Z,21
2015-10-16T12:44:37Z,22
2015-10-17T00:47:21Z,23
2015-10-17T15:08:56Z,22
2015-10-17T17:32:27Z,23
2015-10-17T19:25:57Z,24
2015-10-18T19:42:51Z,23
2015-10-19T01:47:06Z,24
2015-10-19T03:00:00Z,23
2015-10-21T01:46:00Z,24
2015-10-21T03:02:22Z,25
2015-10-21T04:39:17Z,24
2015-10-21T14:24:05Z,25
2015-10-23T16:16:00Z,26
2015-10-23T16:51:47Z,25
2015-10-26T15:59:12Z,26
2015-10-27T10:59:10Z,27
2015-10-27T15:37:27Z,28
2015-10-27T16:35:57Z,29
2015-10-28T08:13:16Z,30
2015-10-28T17:46:40Z,29
2015-10-30T09:57:46Z,30
2015-10-30T09:59:04Z,29
2015-10-30T16:47:28Z,30
2015-10-30T16:59:55Z,29
2015-10-31T14:30:32Z,30
2015-10-31T18:46:34Z,29
2015-10-31T18:47:39Z,28
2015-11-03T21:16:15Z,29
2015-11-03T21:26:21Z,28
2015-11-06T00:42:32Z,29
2015-11-08T18:14:52Z,30
2015-11-08T20:31:24Z,29
2015-11-09T03:10:39Z,30
2015-11-09T03:48:49Z,29
2015-11-09T03:57:52Z,30
2015-11-09T04:00:00Z,29
2015-11-09T04:39:32Z,30
2015-11-09T04:52:38Z,29
2015-11-09T05:23:35Z,30
2015-11-09T05:32:10Z,29
2015-11-09T13:16:05Z,30
2015-11-09T13:35:40Z,29
2015-11-10T03:51:37Z,30
2015-11-10T04:01:35Z,29
2015-11-10T22:23:24Z,30
2015-11-10T22:28:44Z,29
2015-11-11T20:39:53Z,30
2015-11-11T20:50:28Z,29
2015-11-11T21:01:34Z,30
2015-11-11T21:50:47Z,29
2015-11-11T22:54:17Z,30
2015-11-12T16:21:48Z,31
2015-11-12T16:44:13Z,30
2015-11-12T20:16:26Z,31
2015-11-13T09:57:30Z,32
2015-11-13T11:22:19Z,31
2015-11-13T11:38:11Z,30
2015-11-13T13:52:46Z,29
2015-11-16T13:24:47Z,30
2015-11-16T14:19:16Z,29
2015-11-20T03:26:08Z,28
2015-12-14T21:10:41Z,27
2015-12-21T00:53:58Z,26
2015-12-24T05:37:59Z,25
2015-12-24T07:27:29Z,24
2015-12-24T07:48:30Z,23
2016-03-13T22:08:13Z,22
2016-04-16T10:11:18Z,21
2016-04-17T14:40:01Z,20
2016-04-17T15:38:56Z,19
2016-04-20T19:01:10Z,18
2016-06-10T18:06:27Z,17
2016-06-15T16:53:36Z,16
2016-07-01T14:39:10Z,15
2016-07-11T08:57:31Z,14
2016-07-13T12:56:54Z,13
2016-08-08T09:39:23Z,12
2016-09-10T19:17:16Z,13
2016-09-10T19:28:33Z,14
2016-09-11T02:27:26Z,15
2016-09-11T03:50:42Z,14
2016-09-12T03:38:58Z,15
2016-09-13T10:18:12Z,16
2016-09-13T11:47:46Z,15
2016-09-13T18:37:08Z,16
2016-09-14T01:35:21Z,17
2016-09-14T23:12:48Z,18
2016-09-15T10:00:46Z,17
2016-09-15T14:21:52Z,18
2016-09-15T15:14:53Z,17
2016-09-15T16:06:13Z,16
2016-09-16T14:05:41Z,17
2016-09-16T14:08:16Z,16
2016-09-17T15:15:48Z,17
2016-09-17T16:57:07Z,18
2016-09-17T17:03:21Z,17
2016-09-17T17:04:12Z,16
2016-09-17T19:25:27Z,15
2016-09-18T17:17:02Z,16
2016-09-19T18:35:29Z,17
2016-09-20T00:44:22Z,18
2016-09-20T02:00:12Z,19
2016-09-21T07:24:30Z,18
2016-09-23T18:27:02Z,19
2016-09-25T21:55:57Z,18
2016-09-26T13:32:13Z,19
2016-09-26T16:29:22Z,20
2016-09-27T16:15:28Z,21
2016-09-28T16:37:36Z,22
2016-09-28T17:10:21Z,21
2016-09-29T01:08:36Z,22
2016-09-29T01:11:35Z,23
2016-09-29T01:16:48Z,24
2016-09-29T01:24:35Z,25
2016-09-29T13:49:42Z,26
2016-09-29T13:55:29Z,27
2016-09-29T15:15:18Z,28
2016-09-29T15:25:58Z,27
2016-09-30T12:15:18Z,28
2016-09-30T12:15:51Z,29
2016-09-30T23:14:10Z,30
2016-10-01T00:19:09Z,31
2016-10-01T13:56:39Z,30
2016-10-02T12:06:12Z,31
2016-10-02T12:06:20Z,30
2016-10-02T14:04:38Z,31
2016-10-02T14:04:41Z,30
2016-10-02T21:57:45Z,31
2016-10-04T11:24:31Z,32
2016-10-04T15:31:32Z,33
2016-10-04T16:50:22Z,32
2016-10-04T23:26:08Z,31
2016-10-05T03:58:31Z,32
2016-10-05T04:08:58Z,33
2016-10-05T05:25:21Z,34
2016-10-05T05:58:15Z,35
