File,Entropy,Authors,Size
t/harness5,0.857174043642079,4,7753
src/core/Failure.pm6,0,1,5628
src/core/multidim_slice.pm6,0.6931471805599453,2,14257
docs/announce/2015.02.md,0.47413931305783735,2,6557
src/Perl6/Metamodel/Naming.nqp,1.4750763110546947,5,1119
src/core/CompUnit/Repository/FileSystem.pm6,1.0986122886681096,3,7815
t/09-moar/General_Category__UnicodeData__2.t,0,1,499
t/01-sanity/13-equal.t,0.6931471805599453,2,258
t/04-nativecall/05-arrays.c,0.5623351446188083,2,1828
t/04-nativecall/12-sizeof.c,0.37677016125643675,2,2015
src/core.d/await.pm6,0,1,3032
src/core/Encoding/Encoder/Builtin.pm6,0.6931471805599453,2,1115
docs/announce/2014.02.md,0,1,3247
t/04-nativecall/16-rt125729.t,0.6365141682948128,2,158
t/04-nativecall/13-cpp-mangling.cpp,0.6931471805599453,2,2822
t/04-nativecall/03-simple-returns.c,1.0114042647073518,3,829
t/01-sanity/14-if.t,0.6931471805599453,2,773
lib/Test.pm6,1.9158244292807585,20,26757
src/Perl6/Metamodel/NativeRefHOW.nqp,0,1,2072
src/core/Argfiles.pm6,0,1,777
src/core/Submethod.pm6,0,1,163
t/04-nativecall/04-pointers.c,1.1490596969706202,4,716
t/06-telemetry/02-usage.t,0,1,3283
src/core/set_precedes.pm6,1.0986122886681096,3,3765
src/core/Bag.pm6,0,1,2554
t/01-sanity/12-counter.t,0.6931471805599453,2,286
LICENSE,1.3862943611198906,4,8902
docs/announce/2017.04.1.md,0.6931471805599453,2,2746
docs/announce/2017.07.md,0,1,9946
docs/metaobject-api.pod,0.6365141682948128,2,3124
src/core/CompUnit/Repository.pm6,0,1,2126
docs/announce/2017.04.md,0,1,15790
src/core/BagHash.pm6,0,1,8906
src/core/Rakudo/Internals.pm6,1.4184836619456567,5,64232
docs/announce/2009-07,0.5982695885852573,2,3156
src/core/Encoding/Decoder/Builtin.pm6,0.6365141682948128,2,3587
src/Perl6/Optimizer.nqp,1.964289979011594,17,107028
src/core/Mix.pm6,0,1,2568
src/core/natives.pm6,0,1,971
t/08-performance/02-qast-rewrites.t,0,1,3392
docs/ChangeLog,2.3584359464928415,31,249159
t/01-sanity/18-simple-multisubs.t,0.6931471805599453,2,351
src/core/set_symmetric_difference.pm6,0,1,16167
src/core/Rakudo/Internals/JSON.pm6,1.0986122886681096,3,4949
src/core/Uni.pm6,0,1,4615
lib/newline.pm6,0,1,171
t/04-nativecall/10-cglobals.c,0,1,548
src/core/Awaiter.pm6,0,1,4019
tools/build/moar_core_sources,1.6256157410133092,12,5380
src/core/Any-iterable-methods.pm6,0.7937300551584247,4,72293
t/04-nativecall/20-concurrent.t,0.6931471805599453,2,1108
src/vm/jvm/runtime/org/perl6/rakudo/RakudoJavaInterop.java,0.6711361776147828,5,43765
src/core/EXPORTHOW.pm6,0,1,1207
t/08-performance/01-iterators.t,0,1,772
